,date,price
0,2020-12,"4,250"
1,2021-01,"3,980"
2,2021-02,"4,250"
3,2021-03,"4,250"
4,2021-04,"4,590"
5,2021-05,"4,590"
6,2021-06,"3,580"
7,2021-07,"3,480"
8,2021-08,"3,380"
9,2021-09,"4,480"
10,2021-10,"4,680"
11,2021-11,"4,680"
12,2021-12,"3,480"
13,2022-01,"4,910"
14,2022-02,"3,980"
15,2022-03,"4,680"
16,2022-04,"3,980"
