날짜,price,제품명
2018년 11월,"3,320",[삼양식품]삼양라면
2018년 10월,"3,330",[삼양식품]삼양라면
2018년 9월,"3,281",[삼양식품]삼양라면
2018년 8월,"3,214",[삼양식품]삼양라면
2018년 7월,"3,301",[삼양식품]삼양라면
2018년 6월,"3,307",[삼양식품]삼양라면
2018년 5월,"3,313",[삼양식품]삼양라면
2018년 4월,"3,260",[삼양식품]삼양라면
2018년 3월,"3,320",[삼양식품]삼양라면
2018년 2월,"3,315",[삼양식품]삼양라면
2018년 1월,"3,267",[삼양식품]삼양라면
2018년 12월,"2,753",[오뚜기]진라면 순한맛
2018년 11월,"2,774",[오뚜기]진라면 순한맛
2018년 10월,"2,788",[오뚜기]진라면 순한맛
2018년 9월,"2,767",[오뚜기]진라면 순한맛
2018년 8월,"2,767",[오뚜기]진라면 순한맛
2018년 7월,"2,782",[오뚜기]진라면 순한맛
2018년 6월,"2,792",[오뚜기]진라면 순한맛
2018년 5월,"2,771",[오뚜기]진라면 순한맛
2018년 4월,"2,763",[오뚜기]진라면 순한맛
2018년 3월,"2,734",[오뚜기]진라면 순한맛
2018년 2월,"2,758",[오뚜기]진라면 순한맛
2018년 1월,"2,747",[오뚜기]진라면 순한맛
2017년 12월,"3,445",[농심]신라면
2017년 11월,"3,439",[농심]신라면
2017년 10월,"3,437",[농심]신라면
2017년 9월,"3,443",[농심]신라면
2017년 8월,"3,450",[농심]신라면
2017년 7월,"3,444",[농심]신라면
2017년 6월,"3,439",[농심]신라면
2017년 5월,"3,438",[농심]신라면
2017년 4월,"3,438",[농심]신라면
2017년 3월,"3,446",[농심]신라면
2017년 2월,"3,443",[농심]신라면
2017년 1월,"3,425",[농심]신라면
2017년 12월,"3,252",[삼양식품]삼양라면
2017년 11월,"3,295",[삼양식품]삼양라면
2017년 10월,"3,296",[삼양식품]삼양라면
2017년 9월,"3,251",[삼양식품]삼양라면
2017년 8월,"3,229",[삼양식품]삼양라면
2017년 7월,"3,224",[삼양식품]삼양라면
2017년 6월,"3,180",[삼양식품]삼양라면
2017년 5월,"3,177",[삼양식품]삼양라면
