"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 7월","392.75","354.00","397.75","351.50","927.98K","10.87%"
"2010년 6월","354.25","358.75","367.25","324.50","2.71M","-1.32%"
"2010년 5월","359.00","366.00","379.00","353.50","1.23M","-1.98%"
"2010년 4월","366.25","345.25","370.00","343.50","2.31M","6.16%"
"2010년 3월","345.00","378.00","381.00","343.50","1.31M","-8.73%"
"2010년 2월","378.00","356.25","380.00","347.25","2.42M","6.03%"
"2010년 1월","356.50","415.75","426.25","355.25","2.43M","-13.99%"
"2009년 12월","414.50","400.75","418.75","363.75","1.10M","2.92%"
"2009년 11월","402.75","362.00","409.50","359.25","2.89M","10.04%"
"2009년 10월","366.00","341.25","413.50","327.50","2.93M","6.40%"
"2009년 9월","344.00","325.00","347.75","296.75","1.49M","5.44%"
"2009년 8월","326.25","342.00","365.00","304.25","1.40M","-3.90%"
"2009년 7월","339.50","346.00","369.00","304.00","893.61K","-2.37%"
"2009년 6월","347.75","434.25","450.00","337.75","2.49M","-20.29%"
"2009년 5월","436.25","395.00","437.00","390.00","1.21M","10.09%"
"2009년 4월","396.25","401.50","407.50","360.50","1.93M","-2.10%"
"2009년 3월","404.75","350.00","406.00","337.25","1.15M","15.40%"
"2009년 2월","350.75","378.00","383.00","342.00","2.11M","-7.45%"
"2009년 1월","379.00","404.00","429.00","358.75","2.05M","-6.88%"
"2008년 12월","407.00","350.00","423.75","290.00","1.15M","16.45%"
"2008년 11월","349.50","398.00","422.00","336.50","2.40M","-12.95%"
"2008년 10월","401.50","494.00","500.00","364.00","2.91M","-17.64%"
"2008년 9월","487.50","560.25","579.75","485.50","1.72M","-14.21%"
"2008년 8월","568.25","589.00","608.75","485.25","1.31M","-3.28%"
"2008년 7월","587.50","722.00","751.50","543.75","890.80K","-18.94%"
"2008년 6월","724.75","597.00","765.00","595.75","2.65M","20.94%"
"2008년 5월","599.25","602.00","627.00","572.00","1.31M","-0.17%"
"2008년 4월","600.25","570.50","616.00","561.25","2.48M","5.82%"
"2008년 3월","567.25","546.00","588.00","503.25","2.23M","3.89%"
"2008년 2월","546.00","503.00","547.75","491.00","3.14M","8.93%"
"2008년 1월","501.25","456.25","519.25","456.00","2.00M","10.04%"
"2007년 12월","455.50","383.75","457.00","382.25","910.81K","18.47%"
"2007년 11월","384.50","375.50","394.00","366.50","2.24M","2.40%"
"2007년 10월","375.50","373.00","380.00","335.00","2.13M","0.67%"
"2007년 9월","373.00","327.50","389.50","319.75","1.18M","15.12%"
"2007년 8월","324.00","327.00","354.50","309.50","1.15M","-0.54%"
"2007년 7월","325.75","330.00","348.25","308.50","634.04K","-1.14%"
"2007년 6월","329.50","390.00","428.75","323.00","2.10M","-15.57%"
"2007년 5월","390.25","364.75","395.75","343.50","1.34M","9.01%"
"2007년 4월","358.00","357.00","385.25","343.00","1.80M","-4.41%"
"2007년 3월","374.50","425.75","428.50","374.50","1.25M","-11.93%"
"2007년 2월","425.25","404.25","437.25","391.50","2.03M","5.26%"
"2007년 1월","404.00","389.25","420.50","352.50","2.68M","3.52%"
"2006년 12월","390.25","376.75","392.00","349.00","791.45K","3.51%"
"2006년 11월","377.00","320.75","378.00","320.50","2.57M","17.54%"
"2006년 10월","320.75","263.25","334.00","261.50","3.00M","22.19%"
"2006년 9월","262.50","231.50","268.00","222.25","1.55M","13.15%"
"2006년 8월","232.00","239.75","248.75","216.75","1.07M","-2.93%"
"2006년 7월","239.00","239.25","259.50","235.25","618.47K","1.49%"
"2006년 6월","235.50","251.25","260.00","221.00","1.81M","-6.27%"
"2006년 5월","251.25","237.25","264.25","225.75","1.17M","5.46%"
"2006년 4월","238.25","235.25","244.00","228.75","1.24M","0.95%"
"2006년 3월","236.00","227.25","243.00","217.00","1.11M","3.51%"
"2006년 2월","228.00","217.75","228.75","215.25","1.59M","4.23%"
"2006년 1월","218.75","215.25","222.00","203.50","1.58M","1.39%"
"2005년 12월","215.75","188.00","217.00","186.00","659.54K","15.07%"
"2005년 11월","187.50","196.25","199.50","185.75","1.37M","-4.46%"
"2005년 10월","196.25","205.25","209.50","196.00","965.89K","-4.50%"
"2005년 9월","205.50","201.50","210.00","195.00","578.31K","1.99%"
"2005년 8월","201.50","238.00","239.50","200.00","837.66K","-14.80%"
"2005년 7월","236.50","215.00","263.25","213.25","489.13K","11.43%"
"2005년 6월","212.25","221.25","237.50","209.00","1.50M","-4.39%"
"2005년 5월","222.00","205.00","228.00","195.25","920.14K","8.42%"
"2005년 4월","204.75","213.75","215.00","203.00","1.01M","-3.87%"
"2005년 3월","213.00","211.50","231.00","203.75","773.54K","-0.70%"
"2005년 2월","214.50","197.25","216.50","194.00","988.14K","8.88%"
"2005년 1월","197.00","203.50","209.75","195.00","905.62K","-3.79%"
"2004년 12월","204.75","192.50","208.75","191.00","362.29K","6.36%"
"2004년 11월","192.50","202.00","208.50","192.25","1.21M","-4.94%"
"2004년 10월","202.50","205.50","209.50","197.00","923.64K","-1.46%"
"2004년 9월","205.50","230.50","234.00","204.00","517.10K","-9.77%"
"2004년 8월","227.75","218.75","235.00","215.25","408.89K","4.83%"
"2004년 7월","217.25","257.50","259.25","216.50","249.51K","-15.63%"
"2004년 6월","257.50","307.50","327.50","254.50","673.09K","-15.30%"
"2004년 5월","304.00","315.75","319.75","283.50","295.86K","-3.95%"
"2004년 4월","316.50","319.75","335.25","296.50","756.09K","-1.09%"
"2004년 3월","320.00","296.00","321.75","285.00","652.05K","8.02%"
"2004년 2월","296.25","274.75","297.75","268.75","930.53K","7.24%"
"2004년 1월","276.25","246.00","281.50","245.75","1.11M","12.30%"
"2003년 12월","246.00","247.00","255.00","229.00","600.82K","0.41%"
"2003년 11월","245.00","246.00","247.25","229.00","986.55K","-0.91%"
"2003년 10월","247.25","220.25","251.00","213.25","1.36M","12.26%"
"2003년 9월","220.25","230.25","243.50","220.00","578.01K","-5.57%"
"2003년 8월","233.25","206.00","234.50","206.00","493.69K","13.23%"
"2003년 7월","206.00","228.75","233.00","204.50","310.95K","-9.85%"
"2003년 6월","228.50","243.25","248.25","228.00","935.12K","-6.45%"
"2003년 5월","244.25","232.50","262.00","232.50","543.25K","4.94%"
"2003년 4월","232.75","236.25","245.25","230.25","724.52K","-1.59%"
"2003년 3월","236.50","231.75","240.75","227.25","413.44K","2.05%"
"2003년 2월","231.75","237.25","243.00","229.75","778.56K","-2.73%"
"2003년 1월","238.25","235.75","246.00","228.50","799.25K","1.06%"
"2002년 12월","235.75","240.25","243.50","231.25","316.91K","-1.87%"
"2002년 11월","240.25","247.75","249.50","234.00","964.74K","-2.93%"
"2002년 10월","247.50","251.75","261.75","243.25","1.02M","-1.59%"
"2002년 9월","251.50","258.75","285.50","249.50","695.43K","-3.08%"
"2002년 8월","259.50","247.75","277.00","244.00","561.56K","4.95%"
"2002년 7월","247.25","225.00","250.00","212.50","358.10K","9.65%"
"2002년 6월","225.50","212.00","230.00","204.00","832.42K","5.37%"
"2002년 5월","214.00","193.50","216.75","191.50","514.32K","10.59%"
"2002년 4월","193.50","202.50","205.00","192.25","736.66K","-4.44%"
"2002년 3월","202.50","200.00","208.50","198.75","341.03K","1.00%"
"2002년 2월","200.50","205.75","209.75","198.50","754.07K","-2.67%"
"2002년 1월","206.00","199.75","216.25","199.25","380.43K","3.13%"
