"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 4월","1,556.00","1,510.00","1,570.00","1,446.00","155.09K","5.78%"
"2016년 3월","1,471.00","1,368.00","1,514.00","1,337.00","0.37K","6.98%"
"2016년 2월","1,375.00","1,378.00","1,454.00","1,307.00","136.15K","0.51%"
"2016년 1월","1,368.00","1,489.00","1,491.00","1,318.00","0.63K","-8.25%"
"2015년 12월","1,491.00","1,492.00","1,546.00","1,467.00","112.59K","0.68%"
"2015년 11월","1,481.00","1,601.00","1,651.00","1,470.00","0.50K","-8.35%"
"2015년 10월","1,616.00","1,552.00","1,672.00","1,514.00","163.84K","4.12%"
"2015년 9월","1,552.00","1,582.00","1,604.00","1,543.00","0.56K","-1.83%"
"2015년 8월","1,581.00","1,640.00","1,741.00","1,565.00","164.93K","-10.88%"
"2015년 7월","1,774.00","1,885.00","1,897.00","1,753.00","4.28K","-5.89%"
"2015년 6월","1,885.00","1,650.00","1,929.00","1,648.00","142.39K","19.00%"
"2015년 5월","1,584.00","1,738.00","1,760.00","1,540.00","0.85K","-9.59%"
"2015년 4월","1,752.00","1,738.00","1,829.00","1,714.00","118.87K","3.24%"
"2015년 3월","1,697.00","1,899.00","1,901.00","1,667.00","0.58K","-9.30%"
"2015년 2월","1,871.00","1,939.00","2,050.00","1,827.00","99.94K","-2.60%"
"2015년 1월","1,921.00","1,895.00","1,970.00","1,835.00","0.88K","1.48%"
"2014년 12월","1,893.00","2,072.00","2,083.00","1,833.00","96.82K","-9.69%"
"2014년 11월","2,096.00","2,055.00","2,103.00","2,005.00","2.77K","2.34%"
"2014년 10월","2,048.00","1,998.00","2,200.00","1,983.00","117.08K","4.07%"
"2014년 9월","1,968.00","2,044.00","2,091.00","1,930.00","1.69K","-3.20%"
"2014년 8월","2,033.00","2,105.00","2,139.00","1,920.00","121.62K","-0.68%"
"2014년 7월","2,047.00","2,000.00","2,076.00","1,982.00","5.57K","2.45%"
"2014년 6월","1,998.00","1,929.00","2,060.00","1,868.00","126.63K","2.57%"
"2014년 5월","1,948.00","2,159.00","2,180.00","1,869.00","1.02K","-10.11%"
"2014년 4월","2,167.00","2,085.00","2,195.00","1,983.00","130.89K","0.60%"
"2014년 3월","2,154.00","2,118.00","2,275.00","2,080.00","2.61K","1.70%"
"2014년 2월","2,118.00","1,822.00","2,143.00","1,751.00","121.10K","16.44%"
"2014년 1월","1,819.00","1,680.00","1,820.00","1,601.00","2.02K","7.95%"
"2013년 12월","1,685.00","1,647.00","1,860.00","1,638.00","119.80K","3.82%"
"2013년 11월","1,623.00","1,469.00","1,621.00","1,409.00","0.87K","11.16%"
"2013년 10월","1,460.00","1,651.00","1,756.00","1,459.00","147.79K","-7.71%"
"2013년 9월","1,582.00","1,752.00","1,778.00","1,620.00","1.14K","-9.55%"
"2013년 8월","1,749.00","1,885.00","1,979.00","1,717.00","108.69K","-5.05%"
"2013년 7월","1,842.00","1,711.00","1,974.00","1,711.00","0.74K","6.41%"
"2013년 6월","1,731.00","1,890.00","1,897.00","1,677.00","142.87K","-6.13%"
"2013년 5월","1,844.00","1,960.00","2,034.00","1,832.00","1.70K","-6.16%"
"2013년 4월","1,965.00","2,055.00","2,069.00","1,927.00","149.99K","-2.87%"
"2013년 3월","2,023.00","2,069.00","2,168.00","2,033.00","0.75K","-1.70%"
"2013년 2월","2,058.00","2,019.00","2,145.00","2,003.00","121.57K","1.98%"
"2013년 1월","2,018.00","1,976.00","2,032.00","1,960.00","5.69K","2.80%"
"2012년 12월","1,963.00","1,905.00","1,985.00","1,845.00","96.62K","1.55%"
"2012년 11월","1,933.00","1,961.00","1,981.00","1,840.00","1.23K","-0.36%"
"2012년 10월","1,940.00","2,180.00","2,218.00","1,935.00","128.58K","-11.33%"
"2012년 9월","2,188.00","2,036.00","2,193.00","1,980.00","1.45K","7.36%"
"2012년 8월","2,038.00","2,241.00","2,248.00","1,992.00","113.21K","-8.32%"
"2012년 7월","2,223.00","2,110.00","2,244.00","1,960.00","1.00K","5.71%"
"2012년 6월","2,103.00","2,177.00","2,189.00","1,990.00","98.33K","-4.88%"
"2012년 5월","2,211.00","1,958.00","2,239.00","1,937.00","1.90K","12.75%"
"2012년 4월","1,961.00","2,026.00","2,049.00","1,923.00","79.28K","-3.45%"
"2012년 3월","2,031.00","2,017.00","2,095.00","1,930.00","5.14K","1.10%"
"2012년 2월","2,009.00","1,826.00","2,174.00","1,794.00","134.86K","9.30%"
"2012년 1월","1,838.00","1,765.00","1,898.00","1,688.00","1.83K","4.08%"
"2011년 12월","1,766.00","1,970.00","2,042.00","1,747.00","97.65K","-9.16%"
"2011년 11월","1,944.00","1,776.00","1,970.00","1,750.00","7.32K","9.27%"
"2011년 10월","1,779.00","1,950.00","2,061.00","1,769.00","132.89K","-9.42%"
"2011년 9월","1,964.00","2,290.00","2,295.00","1,905.00","1.68K","-14.53%"
"2011년 8월","2,298.00","2,096.00","2,422.00","2,023.00","161.84K","12.70%"
"2011년 7월","2,039.00","2,450.00","2,454.00","2,064.00","1.39K","-16.88%"
"2011년 6월","2,453.00","2,602.00","2,607.00","2,169.00","181.64K","-4.74%"
"2011년 5월","2,575.00","2,554.00","2,609.00","2,450.00","5.59K","1.74%"
"2011년 4월","2,531.00","2,536.00","2,549.00","2,309.00","104.21K","0.24%"
"2011년 3월","2,525.00","2,362.00","2,593.00","2,298.00","2.19K","7.95%"
