"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2012년 3월","592.3","544.6","595.0","542.3","27.36K","10.46%"
"2012년 2월","536.2","519.3","542.7","510.5","20.77K","4.28%"
"2012년 1월","514.2","548.0","560.9","513.1","14.95K","-5.72%"
"2011년 12월","545.4","512.1","546.9","501.0","18.74K","7.17%"
"2011년 11월","508.9","477.0","523.5","473.2","19.80K","6.98%"
"2011년 10월","475.7","469.8","480.7","459.2","19.25K","-1.06%"
"2011년 9월","480.8","485.0","508.0","480.3","20.59K","-1.15%"
"2011년 8월","486.4","487.9","497.9","469.1","21.31K","-0.21%"
"2011년 7월","487.4","474.6","488.7","466.0","27.80K","1.88%"
"2011년 6월","478.4","533.8","536.0","471.0","20.01K","-10.71%"
"2011년 5월","535.8","519.3","536.4","504.7","10.71K","2.80%"
"2011년 4월","521.2","516.5","526.0","502.0","11.82K","2.06%"
"2011년 3월","510.7","543.8","557.7","503.7","13.39K","-5.39%"
