"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2013년 9월","17.48","16.35","17.67","16.35","1.45M","6.98%"
"2013년 8월","16.34","16.95","17.29","16.26","1.14M","-3.71%"
"2013년 7월","16.97","16.93","17.08","15.93","1.15M","3.60%"
"2013년 6월","16.38","16.55","17.29","16.02","1.43M","-1.03%"
"2013년 5월","16.55","17.63","17.90","16.52","1.07M","-6.34%"
"2013년 4월","17.67","17.70","18.15","17.13","1.06M","0.06%"
"2013년 3월","17.66","18.34","19.12","17.56","959.48K","-3.92%"
"2013년 2월","18.38","18.85","19.02","17.61","986.28K","-2.13%"
"2013년 1월","18.78","19.65","19.75","18.06","1.09M","-3.74%"
"2012년 12월","19.51","19.45","19.94","18.31","732.55K","0.88%"
"2012년 11월","19.34","19.46","20.03","18.66","850.54K","-0.62%"
"2012년 10월","19.46","20.42","21.77","19.18","996.21K","-0.61%"
"2012년 9월","19.58","19.83","20.25","18.81","1.03M","-1.01%"
"2012년 8월","19.78","22.59","22.81","19.45","1.02M","-12.63%"
"2012년 7월","22.64","21.08","24.00","21.03","1.15M","3.81%"
"2012년 6월","21.81","19.50","21.96","18.86","1.18M","12.31%"
"2012년 5월","19.42","21.04","21.17","19.36","969.44K","-8.27%"
"2012년 4월","21.17","24.68","24.86","20.90","839.37K","-14.33%"
"2012년 3월","24.71","25.00","26.20","23.26","1.04M","-3.70%"
"2012년 2월","25.66","23.78","26.78","23.41","714.27K","8.54%"
"2012년 1월","23.64","23.40","25.21","22.82","917.43K","1.46%"
"2011년 12월","23.30","23.69","24.25","22.62","634.50K","-1.65%"
"2011년 11월","23.69","25.73","26.18","22.71","735.16K","-8.07%"
"2011년 10월","25.77","25.29","28.35","24.31","753.74K","-2.16%"
"2011년 9월","26.34","29.74","30.21","24.80","913.60K","-11.25%"
"2011년 8월","29.68","30.15","31.85","26.38","1.04M","-0.44%"
"2011년 7월","29.81","26.25","31.68","25.68","946.30K","5.11%"
"2011년 6월","28.36","23.18","30.88","22.35","1.09M","22.35%"
"2011년 5월","23.18","22.19","23.37","20.40","887.61K","-0.86%"
"2011년 4월","23.38","27.11","28.13","22.81","800.82K","-13.76%"
"2011년 3월","27.11","29.45","31.05","25.47","908.09K","-16.61%"
