"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","223.60","226.00","237.68","220.95","15.62K","-1.24%"
"2022년 3월","226.40","236.95","236.95","211.30","118.61K","-3.35%"
"2022년 2월","234.25","235.75","260.45","233.95","316.81K","-0.36%"
"2022년 1월","235.10","226.15","245.00","220.55","377.81K","3.98%"
"2021년 12월","226.10","234.00","250.35","224.00","81.81K","-3.07%"
"2021년 11월","233.25","203.20","247.55","198.70","343.29K","14.37%"
"2021년 10월","203.95","194.00","215.15","191.30","405.15K","5.13%"
"2021년 9월","194.00","195.30","199.45","182.35","119.82K","0.28%"
"2021년 8월","193.45","179.35","196.50","171.60","327.09K","7.74%"
"2021년 7월","179.55","162.10","215.20","149.30","275.46K","12.68%"
"2021년 6월","159.35","162.00","166.75","147.05","342.37K","-1.85%"
"2021년 5월","162.35","139.90","163.15","138.85","141.23K","16.01%"
"2021년 4월","139.95","124.95","145.80","120.55","279.62K","13.32%"
"2021년 3월","123.50","138.45","138.45","120.50","159.07K","-9.76%"
"2021년 2월","136.85","122.65","139.30","120.20","266.96K","11.31%"
"2021년 1월","122.95","128.40","131.75","118.75","385.67K","-4.13%"
"2020년 12월","128.25","120.20","129.00","114.75","104.84K","6.26%"
"2020년 11월","120.70","103.90","121.40","102.15","269.57K","15.61%"
"2020년 10월","104.40","110.95","113.35","102.95","388.63K","-5.90%"
"2020년 9월","110.95","132.25","134.50","108.30","179.06K","-14.52%"
"2020년 8월","129.80","118.20","130.80","109.70","293.81K","9.12%"
"2020년 7월","118.95","102.80","119.40","95.45","217.87K","18.89%"
"2020년 6월","100.05","95.85","101.45","92.70","290.45K","3.89%"
"2020년 5월","96.30","104.25","109.40","95.85","145.97K","-7.98%"
"2020년 4월","104.65","117.75","122.00","102.65","204.47K","-12.46%"
"2020년 3월","119.55","112.75","130.65","102.80","165.24K","8.58%"
"2020년 2월","110.10","102.00","111.50","97.40","338.35K","7.26%"
"2020년 1월","102.65","129.55","130.95","100.15","480.13K","-20.86%"
"2019년 12월","129.70","118.00","138.40","118.00","154.74K","9.41%"
"2019년 11월","118.55","102.15","118.00","101.10","422.64K","16.28%"
"2019년 10월","101.95","101.05","102.90","92.20","553.71K","0.79%"
"2019년 9월","101.15","101.15","102.90","97.25","148.51K","8.07%"
"2019년 8월","93.60","97.85","98.95","89.60","334.98K","-6.07%"
"2019년 7월","99.65","112.55","113.05","98.10","194.04K","-7.94%"
"2019년 6월","108.25","104.85","109.00","94.00","440.76K","3.49%"
"2019년 5월","104.60","91.70","105.30","86.75","290.92K","13.88%"
"2019년 4월","91.85","94.05","96.95","86.35","495.27K","-2.80%"
"2019년 3월","94.50","97.50","97.50","92.60","187.25K","-0.74%"
