"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2012년 4월","178.75","175.00","180.00","168.50","5.07K","2.29%"
"2012년 3월","174.75","165.00","178.50","165.00","1.55K","5.59%"
"2012년 2월","165.50","170.00","171.00","162.95","0.80K","-1.78%"
"2012년 1월","168.50","156.00","168.50","150.00","0.35K","10.67%"
"2011년 12월","152.25","142.75","151.50","140.75","0.95K","6.73%"
"2011년 11월","142.65","149.00","151.50","140.00","0.78K","-5.53%"
"2011년 10월","151.00","149.50","153.00","144.55","5.65K","0.23%"
"2011년 9월","150.65","174.00","174.00","149.80","9.69K","-13.79%"
"2011년 8월","174.75","164.00","175.00","154.00","9.73K","6.78%"
"2011년 7월","163.65","170.00","175.00","157.80","8.31K","-4.30%"
"2011년 6월","171.00","192.00","198.00","161.00","0.77K","-11.40%"
"2011년 5월","193.00","207.00","207.00","191.00","0.75K","-5.85%"
"2011년 4월","205.00","203.00","222.00","201.00","3.30K","1.49%"
"2011년 3월","202.00","201.85","203.00","193.75","1.01K","0.50%"
