"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 9월","302.10","305.30","318.00","290.00","144.50K","-0.69%"
"2010년 8월","304.20","311.00","329.00","295.60","152.35K","-2.16%"
"2010년 7월","310.90","291.50","319.80","289.40","186.63K","7.43%"
"2010년 6월","289.40","274.00","299.00","269.00","578.60K","5.81%"
"2010년 5월","273.50","297.80","297.80","270.00","295.76K","-6.11%"
"2010년 4월","291.30","266.40","296.70","260.50","446.69K","9.59%"
"2010년 3월","265.80","273.80","283.50","249.20","441.32K","-2.71%"
"2010년 2월","273.20","274.30","289.60","265.50","424.70K","-0.22%"
"2010년 1월","273.80","318.60","325.20","273.00","296.47K","-12.77%"
"2009년 12월","313.90","326.80","335.00","296.70","268.22K","-3.95%"
"2009년 11월","326.80","295.10","330.80","284.00","511.98K","10.03%"
"2009년 10월","297.00","288.70","338.10","271.00","386.91K","2.87%"
"2009년 9월","288.70","382.50","384.00","276.00","139.19K","-24.52%"
"2009년 8월","382.50","363.00","412.70","307.50","159.42K","5.96%"
"2009년 7월","361.00","414.50","425.00","306.40","166.33K","-12.44%"
"2009년 6월","412.30","381.80","433.40","375.70","607.81K","7.79%"
"2009년 5월","382.50","342.00","392.50","340.00","335.09K","11.68%"
"2009년 4월","342.50","293.00","342.50","291.80","511.97K","15.98%"
"2009년 3월","295.30","273.00","309.00","266.40","342.64K","7.07%"
"2009년 2월","275.80","310.00","319.40","264.00","476.84K","-11.32%"
"2009년 1월","311.00","299.80","326.00","291.30","370.99K","3.49%"
"2008년 12월","300.50","257.50","304.50","237.90","224.81K","17.38%"
"2008년 11월","256.00","276.80","284.70","249.70","446.81K","-6.23%"
"2008년 10월","273.00","283.20","291.30","236.90","402.07K","-2.29%"
"2008년 9월","279.40","365.00","366.90","278.00","189.22K","-23.95%"
"2008년 8월","367.40","380.00","382.50","325.00","182.50K","-3.21%"
"2008년 7월","379.60","435.00","456.80","366.90","304.76K","-12.53%"
"2008년 6월","434.00","342.10","437.50","339.80","482.48K","27.09%"
"2008년 5월","341.50","336.60","359.90","315.90","328.49K","1.46%"
"2008년 4월","336.60","318.20","358.70","298.50","529.54K","4.44%"
"2008년 3월","322.30","378.60","385.70","302.00","648.52K","-14.21%"
"2008년 2월","375.70","341.60","379.00","340.70","687.22K","10.01%"
"2008년 1월","341.50","328.20","361.50","322.50","417.16K","3.02%"
"2007년 12월","331.50","289.40","341.50","285.70","244.49K","14.98%"
"2007년 11월","288.30","280.60","298.20","270.00","545.86K","3.11%"
"2007년 10월","279.60","278.20","283.60","254.00","367.07K","1.19%"
"2007년 9월","276.30","243.10","286.50","240.60","158.19K","15.22%"
"2007년 8월","239.80","216.20","242.20","214.10","182.94K","11.22%"
"2007년 7월","215.60","231.90","255.80","211.40","184.28K","-5.93%"
"2007년 6월","229.20","216.90","240.00","215.00","571.13K","5.67%"
"2007년 5월","216.90","193.00","221.30","192.40","320.65K","12.50%"
"2007년 4월","192.80","211.50","219.80","190.80","418.02K","-8.97%"
"2007년 3월","211.80","224.00","224.40","207.80","277.28K","-5.61%"
"2007년 2월","224.40","207.50","234.60","207.00","405.59K","8.20%"
"2007년 1월","207.40","191.90","216.80","184.70","291.83K","8.08%"
"2006년 12월","191.90","193.40","193.40","182.00","175.34K","-0.78%"
"2006년 11월","193.40","189.60","202.80","187.60","468.97K","2.00%"
"2006년 10월","189.60","162.30","191.90","160.20","329.75K","17.11%"
"2006년 9월","161.90","158.00","170.00","155.80","136.66K","2.99%"
"2006년 8월","157.20","163.50","164.00","156.50","162.78K","-3.32%"
"2006년 7월","162.60","176.00","177.50","161.90","155.73K","-6.87%"
"2006년 6월","174.60","172.40","187.50","171.10","489.08K","1.28%"
"2006년 5월","172.40","175.00","181.80","170.50","255.17K","-0.29%"
"2006년 4월","172.90","174.60","178.50","168.10","329.34K","-0.97%"
"2006년 3월","174.60","173.00","181.00","170.50","240.66K","0.23%"
"2006년 2월","174.20","185.00","187.00","173.20","293.60K","-5.84%"
"2006년 1월","185.00","200.90","202.50","175.60","190.33K","-6.23%"
"2005년 12월","197.30","171.80","205.40","171.50","165.33K","14.84%"
"2005년 11월","171.80","169.90","183.20","166.70","312.48K","1.24%"
"2005년 10월","169.70","167.10","176.90","162.30","161.00K","1.50%"
"2005년 9월","167.20","181.00","189.50","166.20","126.42K","-8.33%"
