"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2006년 10월","234.00","206.50","247.75","204.50","29.78K","13.45%"
"2006년 9월","206.25","182.00","210.00","182.00","13.26K","13.32%"
"2006년 8월","182.00","192.00","192.00","172.50","6.56K","-3.96%"
"2006년 7월","189.50","214.00","232.50","186.50","10.17K","-10.93%"
"2006년 6월","212.75","183.50","213.00","182.00","17.92K","16.90%"
"2006년 5월","182.00","188.00","206.00","179.00","17.54K","-3.32%"
"2006년 4월","188.25","170.00","188.50","168.50","13.61K","8.50%"
"2006년 3월","173.50","181.00","185.00","168.00","14.95K","-4.67%"
"2006년 2월","182.00","192.00","203.00","181.50","19.64K","-5.21%"
"2006년 1월","192.00","195.00","202.00","182.75","19.18K","-1.54%"
"2005년 12월","195.00","187.75","220.75","182.50","12.63K","5.41%"
"2005년 11월","185.00","158.75","197.00","158.50","16.79K","16.54%"
"2005년 10월","158.75","162.00","172.75","158.50","23.06K","-1.70%"
"2005년 9월","161.50","141.50","162.50","140.00","9.58K","9.86%"
"2005년 8월","147.00","162.75","162.75","140.00","5.66K","-9.68%"
"2005년 7월","162.75","152.25","182.75","152.25","6.26K","7.60%"
"2005년 6월","151.25","135.75","157.50","135.00","18.45K","11.42%"
"2005년 5월","135.75","134.50","140.00","127.00","9.13K","-2.16%"
"2005년 4월","138.75","157.00","164.00","138.75","17.18K","-12.04%"
"2005년 3월","157.75","161.50","178.00","148.00","20.54K","-2.32%"
"2005년 2월","161.50","167.50","169.75","156.00","18.60K","-3.44%"
"2005년 1월","167.25","156.00","173.00","152.00","20.80K","7.04%"
"2004년 12월","156.25","170.00","175.00","154.00","9.97K","-6.99%"
"2004년 11월","168.00","141.50","168.50","136.50","19.40K","17.69%"
"2004년 10월","142.75","145.00","148.50","136.25","20.78K","-1.04%"
"2004년 9월","144.25","143.00","174.00","139.50","19.12K","0.35%"
"2004년 8월","143.75","122.00","150.00","122.00","6.45K","18.07%"
"2004년 7월","121.75","132.00","143.75","120.50","4.23K","-8.29%"
"2004년 6월","132.75","155.00","161.00","131.50","15.95K","-10.15%"
"2004년 5월","147.75","174.50","174.50","142.00","12.13K","-14.60%"
"2004년 4월","173.00","174.25","181.25","158.00","19.27K","-0.57%"
"2004년 3월","174.00","160.00","185.00","151.00","21.49K","11.54%"
"2004년 2월","156.00","155.25","158.00","145.50","17.43K","-0.48%"
"2004년 1월","156.75","147.75","164.75","147.50","26.98K","7.18%"
"2003년 12월","146.25","138.75","151.75","135.50","13.47K","8.74%"
"2003년 11월","134.50","141.75","146.75","131.25","16.13K","-4.95%"
"2003년 10월","141.50","144.50","150.75","132.25","28.49K","-2.41%"
"2003년 9월","145.00","137.00","149.50","135.00","11.96K","4.32%"
"2003년 8월","139.00","140.50","146.00","128.50","4.24K","-0.54%"
"2003년 7월","139.75","152.75","158.25","123.50","4.63K","-8.81%"
"2003년 6월","153.25","144.50","161.75","138.00","13.89K","3.72%"
"2003년 5월","147.75","158.75","178.50","142.25","10.92K","-5.44%"
"2003년 4월","156.25","188.00","190.50","156.00","13.74K","-17.44%"
"2003년 3월","189.25","222.75","224.00","175.00","9.13K","-14.37%"
"2003년 2월","221.00","200.00","225.50","199.00","17.00K","10.36%"
"2003년 1월","200.25","213.00","215.25","198.50","11.52K","-1.84%"
"2002년 12월","204.00","205.00","209.00","196.50","1.44K","0.00%"
"2002년 11월","204.00","190.50","206.50","187.75","11.59K","0.74%"
"2002년 10월","202.50","202.50","202.50","202.50","-","5.33%"
"2002년 9월","192.25","180.00","208.50","180.00","0.33K","8.31%"
"2002년 8월","177.50","180.00","192.00","173.00","8.81K","-0.56%"
"2002년 7월","178.50","212.50","220.50","160.50","11.47K","-13.14%"
"2002년 6월","205.50","184.75","210.00","176.00","20.00K","11.08%"
"2002년 5월","185.00","167.00","195.00","140.50","16.92K","10.94%"
"2002년 4월","166.75","199.50","221.00","147.50","30.84K","-16.21%"
"2002년 3월","199.00","226.00","248.00","195.00","12.86K","-11.85%"
"2002년 2월","225.75","202.75","234.75","197.25","27.50K","12.73%"
"2002년 1월","200.25","201.50","214.50","187.50","32.98K","2.30%"
