"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 3월","15.600","15.100","15.710","15.010","4.05K","1.46%"
"2014년 2월","15.375","15.390","16.100","15.250","11.21K","-0.16%"
"2014년 1월","15.400","15.520","15.830","15.385","4.36K","-0.71%"
"2013년 12월","15.510","15.920","16.010","15.250","12.75K","-2.82%"
"2013년 11월","15.960","15.075","15.990","15.075","4.13K","6.22%"
"2013년 10월","15.025","15.080","15.600","14.690","16.30K","-0.69%"
"2013년 9월","15.130","15.850","16.100","15.110","4.90K","-4.27%"
"2013년 8월","15.805","15.780","16.700","14.970","14.16K","-0.13%"
"2013년 7월","15.825","15.800","16.100","15.140","6.41K","0.54%"
"2013년 6월","15.740","15.320","16.620","15.280","16.10K","2.91%"
"2013년 5월","15.295","14.855","15.835","14.855","7.44K","2.96%"
"2013년 4월","14.855","15.290","15.965","14.635","22.64K","-3.29%"
"2013년 3월","15.360","15.680","15.680","14.500","6.19K","-0.90%"
"2013년 2월","15.500","15.495","16.350","15.320","22.26K","-0.03%"
"2013년 1월","15.505","14.800","15.540","14.645","7.26K","4.34%"
"2012년 12월","14.860","15.260","15.580","14.860","20.74K","-2.69%"
"2012년 11월","15.270","14.890","15.330","14.630","5.71K","2.97%"
"2012년 10월","14.830","15.435","15.450","14.665","20.85K","-4.17%"
"2012년 9월","15.475","14.980","15.490","14.400","7.18K","3.10%"
"2012년 8월","15.010","15.575","16.090","14.840","18.86K","-3.87%"
"2012년 7월","15.615","14.300","15.840","14.300","7.88K","10.04%"
"2012년 6월","14.190","14.205","15.045","13.725","21.84K","-0.25%"
"2012년 5월","14.225","14.770","15.695","14.210","11.91K","-4.31%"
"2012년 4월","14.865","14.700","15.755","14.550","22.02K","0.68%"
"2012년 3월","14.765","14.320","15.270","13.725","15.73K","3.94%"
"2012년 2월","14.205","14.035","14.515","13.500","25.10K","1.46%"
"2012년 1월","14.000","14.675","14.905","13.990","8.62K","-4.14%"
"2011년 12월","14.605","14.795","14.950","13.505","18.90K","-1.55%"
"2011년 11월","14.835","16.600","16.755","14.085","10.69K","-10.85%"
"2011년 10월","16.640","15.950","17.260","15.510","19.90K","4.33%"
"2011년 9월","15.950","17.575","18.255","15.815","14.74K","-9.79%"
"2011년 8월","17.680","16.185","17.850","15.885","20.49K","9.71%"
"2011년 7월","16.115","14.000","17.290","13.620","12.79K","16.06%"
"2011년 6월","13.885","15.010","15.140","13.100","24.63K","-7.80%"
"2011년 5월","15.060","14.990","15.330","13.690","12.13K","1.72%"
"2011년 4월","14.805","13.985","14.805","13.355","23.39K","5.86%"
"2011년 3월","13.985","13.940","14.340","12.440","16.52K","0.97%"
